index,oat_site,unit_type,bus,omega,bid,gen_pmax,start_date,num_days,replicate_of
1,275,WIND,120,0.5,40.0,1038.999987796685,01-01-2019,365,
2,205,WIND,77,0.5,40.0,1057.999956964386,01-01-2019,365,
3,20,WIND,32,0.5,40.0,780.1999893773013,01-01-2019,365,
4,274,WIND,120,0.5,40.0,746.3999877635443,01-01-2019,365,
5,204,WIND,28,0.5,40.0,856.9999804088067,01-01-2019,365,
6,91,WIND,94,0.5,40.0,785.4999846514534,01-01-2019,365,
7,206,WIND,22,0.5,40.0,1799.800026503209,01-01-2019,365,
8,30,PV,26,0.4,40.0,926.6666666666669,01-01-2019,365,
9,142,PV,14,0.4,40.0,703.3333333333334,01-01-2019,365,
10,__ALL__,,,,40.0,,01-01-2019,365,
11,__BASE_REPLICATE__,,,,,,01-01-2019,365,base
12,275,WIND,120,0.5,40.0,1038.999987796685,01-01-2019,365,1
