rank,Generator,unit_type,curtailment_mwh,output_mwh,pmax_mw
1,275,WIND,1973765.111425,2306459.368575,1038.999987796685
2,274,WIND,1521527.95244,1545876.14756,746.3999877635443
3,270,WIND,1319785.146844,1055725.923156,578.9999877407346
4,163,WIND,542152.778495,215931.041505,185.3999876467921
5,110,WIND,344842.69100500003,1343935.248995,338.599998942999
6,146,WIND,313613.836323,1107323.523677,267.9999991911224
7,140,WIND,262048.72847,987826.29153,250.5999989428539
8,116,PV,244794.445315,194410.464685,199.3333333333333
9,59,PV,235419.351276,887172.738724,491.6666666666667
10,30,PV,228404.181371,1887396.318629,926.6666666666669
11,143,WIND,210906.766431,341602.153569,238.4999880303343
12,58,PV,209520.045408,932098.654592,500.0
13,272,WIND,205493.592003,1127463.767997,501.3000961526271
14,282,PV,198734.837531,961910.882469,508.3333333333334
15,57,PV,195117.601403,398524.108597,260.0
16,56,PV,143857.283856,480227.906144,273.3333333333334
17,279,WIND,137936.32516,1295078.43484,882.0000399863538
18,194,WIND,129220.870951,562540.939049,176.4999950015191
19,53,WIND,101913.402972,379991.377028,210.4999834245312
20,31,WIND,79121.969298,206022.560702,124.9999837054529
21,52,WIND,78474.573763,223910.076237,132.4999846941916
22,115,WIND,70106.417734,317002.752266,150.0001006265589
23,273,PV,68493.092133,36534.437867,47.66666666666667
24,113,WIND,67884.990199,319224.179801,150.0001006265589
25,142,PV,54217.278758,1545228.371242,703.3333333333334
26,67,PV,53436.290605,1159413.429395,533.3333333333334
27,141,WIND,52950.16695,1031806.66305,229.9999967377302
28,164,PV,48022.421672,30371.338328,33.33333333333334
29,281,WIND,46586.914131,80628.125869,56.099983494724
30,157,WIND,29640.157846,979049.072154,249.9999989733363
